S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
1,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),86.5,81.8,83.5,84.7,Andaman & Nicobar Islands
2,2.,Population and Household Profile,Population below age 15 years (%),22.7,19.7,20.8,23.9,Andaman & Nicobar Islands
3,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1023,929,963,977,Andaman & Nicobar Islands
4,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",941,891,914,859,Andaman & Nicobar Islands
5,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),96.9,97.8,97.4,97.9,Andaman & Nicobar Islands
6,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),(94.8),88.8,90.9,na,Andaman & Nicobar Islands
7,7.,Population and Household Profile,Population living in households with electricity (%),99.5,96.5,97.6,97.2,Andaman & Nicobar Islands
8,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),98.0,95.3,96.3,95.0,Andaman & Nicobar Islands
9,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),88.0,88.0,88.0,75.4,Andaman & Nicobar Islands
10,10.,Population and Household Profile,Households using clean fuel for cooking (%),95.6,71.0,79.8,63.5,Andaman & Nicobar Islands
11,11.,Population and Household Profile,Households using iodized salt (%),99.7,99.7,99.7,99.3,Andaman & Nicobar Islands
12,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),1.4,1.6,1.6,5.7,Andaman & Nicobar Islands
13,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),*,33.7,42.6,na,Andaman & Nicobar Islands
14,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),86.6,85.6,86.0,na,Andaman & Nicobar Islands
15,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),89.3,94.7,92.5,na,Andaman & Nicobar Islands
16,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),59.7,47.6,52.5,49.1,Andaman & Nicobar Islands
17,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),59.4,47.7,52.3,52.6,Andaman & Nicobar Islands
18,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),44.1,27.9,34.8,na,Andaman & Nicobar Islands
19,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),54.6,41.1,46.5,na,Andaman & Nicobar Islands
20,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),17.4,15.3,16.2,16.4,Andaman & Nicobar Islands
21,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),*,(5.8),7.1,9.7,Andaman & Nicobar Islands
22,22.,Marriage and Fertility,Total fertility rate (children per woman),1.4,1.2,1.3,1.4,Andaman & Nicobar Islands
23,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5,4.0,3.0,4.7,Andaman & Nicobar Islands
24,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,36,13,22,28,Andaman & Nicobar Islands
25,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),*,(2.8),12.3,7.3,Andaman & Nicobar Islands
26,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),*,(8.4),20.6,9.8,Andaman & Nicobar Islands
27,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),*,(9.5),24.5,13.0,Andaman & Nicobar Islands
28,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),54.4,73.4,65.8,50.8,Andaman & Nicobar Islands
29,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),48.5,63.9,57.7,48.3,Andaman & Nicobar Islands
30,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),31.0,44.6,39.2,39.9,Andaman & Nicobar Islands
31,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.0,0.3,0.2,0.0,Andaman & Nicobar Islands
32,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),2.2,5.0,3.9,2.1,Andaman & Nicobar Islands
33,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),2.2,4.5,3.6,2.2,Andaman & Nicobar Islands
34,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),12.1,8.2,9.8,4.2,Andaman & Nicobar Islands
35,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.5,0.1,0.3,0.0,Andaman & Nicobar Islands
36,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),18.3,10.3,13.5,15.5,Andaman & Nicobar Islands
37,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),8.8,4.3,6.1,8.1,Andaman & Nicobar Islands
38,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),30.1,31.0,30.6,37.2,Andaman & Nicobar Islands
39,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),(88.0),80.5,83.4,66.4,Andaman & Nicobar Islands
40,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),81.2,73.5,77.1,68.4,Andaman & Nicobar Islands
41,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),86.0,81.0,83.4,92.1,Andaman & Nicobar Islands
42,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),92.8,89.0,90.8,91.8,Andaman & Nicobar Islands
43,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),81.2,80.7,80.9,58.4,Andaman & Nicobar Islands
44,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),64.8,41.0,52.1,33.7,Andaman & Nicobar Islands
45,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,97.9,98.9,97.7,Andaman & Nicobar Islands
46,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.4,88.5,88.9,75.0,Andaman & Nicobar Islands
47,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,230","2,089",2924,1278,Andaman & Nicobar Islands
49,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0,91.8,91.0,na,Andaman & Nicobar Islands
50,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),99.2,98.7,99.0,96.4,Andaman & Nicobar Islands
51,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),81.8,92.1,87.3,92.0,Andaman & Nicobar Islands
52,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),0.0,0.4,0.2,1.0,Andaman & Nicobar Islands
53,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),96.7,97.8,97.3,97.2,Andaman & Nicobar Islands
54,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),40.8,20.2,29.9,19.3,Andaman & Nicobar Islands
55,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),*,*,79.2,79.2,Andaman & Nicobar Islands
56,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),33.6,15.8,23.6,16.9,Andaman & Nicobar Islands
57,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(72.1),84.8,77.8,73.2,Andaman & Nicobar Islands
58,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*,96.8,96.0,84.8,Andaman & Nicobar Islands
59,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),(100.0),95.9,98.2,87.4,Andaman & Nicobar Islands
60,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),(75.7),87.4,80.9,83.9,Andaman & Nicobar Islands
61,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.1),92.1,92.6,83.5,Andaman & Nicobar Islands
62,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(79.3),85.5,82.1,76.4,Andaman & Nicobar Islands
63,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(34.6),28.6,31.9,na,Andaman & Nicobar Islands
64,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0),0.7,0.3,na,Andaman & Nicobar Islands
65,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(83.0),88.4,85.4,83.1,Andaman & Nicobar Islands
66,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.3,87.2,86.0,76.0,Andaman & Nicobar Islands
67,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.9),100.0,94.9,94.4,Andaman & Nicobar Islands
68,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(5.7),0.0,3.2,5.6,Andaman & Nicobar Islands
69,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,5.1,5.6,5.3,Andaman & Nicobar Islands
